temperature,pressure,target
66.0,50.0,0
66.0,50.0,0
66.0,50.0,0
66.0,50.0,0
66.0,50.0,0
66.0,50.0,0
70.0,50.0,1
70.0,50.0,0
70.0,50.0,0
70.0,50.0,0
70.0,50.0,0
70.0,50.0,0
69.0,50.0,0
69.0,50.0,0
69.0,50.0,0
69.0,50.0,0
69.0,50.0,0
69.0,50.0,0
68.0,50.0,0
68.0,50.0,0
68.0,50.0,0
68.0,50.0,0
68.0,50.0,0
68.0,50.0,0
67.0,50.0,0
67.0,50.0,0
67.0,50.0,0
67.0,50.0,0
67.0,50.0,0
67.0,50.0,0
72.0,50.0,0
72.0,50.0,0
72.0,50.0,0
72.0,50.0,0
72.0,50.0,0
72.0,50.0,0
73.0,100.0,0
73.0,100.0,0
73.0,100.0,0
73.0,100.0,0
73.0,100.0,0
73.0,100.0,0
70.0,100.0,0
70.0,100.0,0
70.0,100.0,0
70.0,100.0,0
70.0,100.0,0
70.0,100.0,0
57.0,200.0,1
57.0,200.0,0
57.0,200.0,0
57.0,200.0,0
57.0,200.0,0
57.0,200.0,0
63.0,200.0,1
63.0,200.0,0
63.0,200.0,0
63.0,200.0,0
63.0,200.0,0
63.0,200.0,0
70.0,200.0,1
70.0,200.0,0
70.0,200.0,0
70.0,200.0,0
70.0,200.0,0
70.0,200.0,0
78.0,200.0,0
78.0,200.0,0
78.0,200.0,0
78.0,200.0,0
78.0,200.0,0
78.0,200.0,0
67.0,200.0,0
67.0,200.0,0
67.0,200.0,0
67.0,200.0,0
67.0,200.0,0
67.0,200.0,0
53.0,200.0,1
53.0,200.0,1
53.0,200.0,0
53.0,200.0,0
53.0,200.0,0
53.0,200.0,0
67.0,200.0,0
67.0,200.0,0
67.0,200.0,0
67.0,200.0,0
67.0,200.0,0
67.0,200.0,0
75.0,200.0,0
75.0,200.0,0
75.0,200.0,0
75.0,200.0,0
75.0,200.0,0
75.0,200.0,0
70.0,200.0,0
70.0,200.0,0
70.0,200.0,0
70.0,200.0,0
70.0,200.0,0
70.0,200.0,0
81.0,200.0,0
81.0,200.0,0
81.0,200.0,0
81.0,200.0,0
81.0,200.0,0
81.0,200.0,0
76.0,200.0,0
76.0,200.0,0
76.0,200.0,0
76.0,200.0,0
76.0,200.0,0
76.0,200.0,0
79.0,200.0,0
79.0,200.0,0
79.0,200.0,0
79.0,200.0,0
79.0,200.0,0
79.0,200.0,0
75.0,200.0,1
75.0,200.0,1
75.0,200.0,0
75.0,200.0,0
75.0,200.0,0
75.0,200.0,0
76.0,200.0,0
76.0,200.0,0
76.0,200.0,0
76.0,200.0,0
76.0,200.0,0
76.0,200.0,0
58.0,200.0,1
58.0,200.0,0
58.0,200.0,0
58.0,200.0,0
58.0,200.0,0
58.0,200.0,0
