dataset,best_balanced_accuracy_model,best_balanced_accuracy,default_balanced_accuracy,best_minority_f1_model,best_minority_f1,default_minority_f1,best_minority_recall_model,best_minority_recall,default_minority_recall,best_average_precision_model,best_average_precision,default_average_precision,best_roc_auc_model,best_roc_auc,default_roc_auc,best_accuracy_gain_over_majority_model,best_accuracy_gain_over_majority,default_accuracy_gain_over_majority
df1,gaar_focal_loss,0.6953477119598809,0.5104146912665884,gaar_f1_threshold,0.3568757211016137,0.038788086913086904,gaar_focal_loss,0.43246521457432285,0.020890883148182916,gaar_focal_loss,0.3304184500614624,0.18731091860278343,gaar_focal_loss,0.7708380183041309,0.6847348111349301,focal_loss_cagd,0.002186761229314385,0.0005910165484633251
df10,gaar,0.925667373807474,0.7876512590321877,gaar_f1_threshold,0.7395279511209505,0.6765681138200239,gaar_focal_loss,1.0,0.5928442309324662,gaar,0.8606128148800856,0.8173674914586794,gaar,0.9792437496611097,0.9738015374784081,default,0.05188679245283012,0.05188679245283012
df11,gaar_cagd_f1_threshold,0.8517280565292925,0.7051525607470379,gaar_cagd,0.7384406506756349,0.5587628976675941,gaar_cagd_f1_threshold,0.7348884185292945,0.41919825611847694,gaar_cagd,0.7822532856575779,0.7353885626219847,gaar_cagd,0.9441156688341531,0.9039979883030398,gaar_cagd,0.048721461187214585,0.03424657534246574
df12,gaar_cagd,0.983626708246095,0.7798934553568865,gaar_cagd_f1_threshold,0.9566880966416296,0.7064007198382835,gaar_focal_loss_cagd,0.9922610549029803,0.5646783096170223,gaar_cagd,0.9821270724114763,0.9418011837970102,gaar_cagd,0.9972698734813799,0.9909961034956275,gaar_cagd_f1_threshold,0.12499999999999996,0.07305194805194802
df13,cagd,0.5,0.5,gaar_focal_loss_f1_threshold,0.14674477696216826,0.0,gaar_focal_loss_f1_threshold,0.55,0.0,default,0.2268723340151911,0.2268723340151911,default,0.6163816403754484,0.6163816403754484,cagd,0.0,0.0
df14,f1_threshold,0.5472798127798127,0.5,gaar_focal_loss_f1_threshold,0.17523796857331703,0.0,cagd_f1_threshold,0.575,0.0,cagd,0.41063919740390326,0.4100587020478661,cagd,0.7807926931456343,0.7773990279872632,cagd,0.0,0.0
df15,f1_threshold,0.7821652179351736,0.5,f1_threshold,0.6448712248363951,0.0,gaar_focal_loss_cagd_f1_threshold,0.7561904761904762,0.0,gaar,0.7294197786974321,0.7257570443192372,gaar,0.8397589702356916,0.8376748969732126,f1_threshold,0.06153846153846153,0.0
df16,gaar_cagd,0.8593003188117352,0.5,gaar_cagd,0.7033089133089133,0.0,gaar_focal_loss_cagd_f1_threshold,0.8324999999999999,0.0,gaar_cagd,0.8465674603174603,0.6501028138528138,gaar_cagd,0.962469290567104,0.8377158813086638,gaar_focal_loss_cagd,0.05749999999999996,0.0
df17,cagd_f1_threshold,0.8590481123335566,0.6634661616524362,gaar_cagd,0.7035432479075983,0.4797039286822568,cagd_f1_threshold,0.7799964659523483,0.3275496072554896,gaar_cagd,0.7619083908658365,0.6900443452894864,gaar_cagd,0.9029644200012908,0.8678081312372653,cagd,0.04888888888888886,0.0372222222222222
df18,cagd,0.5,0.5,gaar_focal_loss_f1_threshold,0.06867634398122202,0.0,gaar_focal_loss_f1_threshold,0.4722222222222222,0.0,focal_loss,0.11306519191841677,0.10903022426576907,gaar_cagd,0.4147678672918443,0.4028934001136687,cagd,0.0,0.0
df19,gaar_cagd,0.6672481909430439,0.6165286531279178,f1_threshold,0.4563448827387447,0.35036796536796533,f1_threshold,0.6291666666666667,0.28500000000000003,default,0.6072832329062979,0.6072832329062979,default,0.7860592658115878,0.7860592658115878,gaar_cagd,0.027499999999999997,0.017499999999999984
df2,gaar_cagd,0.9712770220841245,0.6475375984264458,gaar_cagd,0.9452754450053723,0.4406362213457052,gaar_cagd,0.954783985226855,0.31464441084680733,gaar_cagd,0.9871758919759666,0.6749758916907265,gaar_cagd,0.9963079285858247,0.9188872940639781,gaar_cagd,0.14438669438669435,0.03378378378378371
df20,focal_loss_f1_threshold,0.6926697536906434,0.5170269549378299,gaar_focal_loss_cagd_f1_threshold,0.3565807272188264,0.06700603318250377,focal_loss_cagd_f1_threshold,0.7214188990833728,0.037650978407557344,gaar_cagd,0.3745864600300693,0.3548405091757379,gaar_cagd,0.7883032951370519,0.784223736161218,gaar_focal_loss,0.01071428571428568,0.00223214285714282
df3,gaar_cagd_f1_threshold,0.6223556538467561,0.5,gaar_cagd_f1_threshold,0.1116749479062541,0.0,gaar_focal_loss_f1_threshold,0.3903968253968254,0.0,gaar_cagd,0.12074116760262524,0.022525089996237105,gaar_cagd,0.7972657344536184,0.5393528153046623,default,0.0,0.0
df4,gaar_cagd,0.9877979021672806,0.9830985730981452,gaar_f1_threshold,0.9694606468951246,0.9395019011319976,gaar_focal_loss,0.9937654987958325,0.977279306440075,gaar_cagd,0.9954380908279896,0.9903827024172929,gaar,0.999009150944441,0.996403372306578,gaar_f1_threshold,0.09174999999999996,0.08549999999999999
df5,gaar_focal_loss_cagd,0.711839244701235,0.5034833392968124,gaar_focal_loss_f1_threshold,0.32840625802781315,0.013025210084033609,gaar_focal_loss_cagd,0.4418972041030864,0.007179487179487175,gaar_focal_loss_cagd,0.22364679602132936,0.1841593813762694,focal_loss,0.9265809433542458,0.9233538946390588,default,-0.000158478605388265,-0.000158478605388265
df6,gaar_cagd_f1_threshold,0.9126708839110087,0.5,gaar_cagd_f1_threshold,0.8298207495886409,0.0,gaar_cagd_f1_threshold,0.8688703291317571,0.0,gaar_cagd,0.914310951250196,0.7062941773983077,gaar_cagd,0.9815670316234735,0.920904895183344,gaar_cagd_f1_threshold,0.10449297188755016,0.0
df7,cagd,0.9821443052314001,0.968264398009868,gaar_f1_threshold,0.9646059169297871,0.9508816988732702,gaar_focal_loss_cagd,0.9889262528968039,0.9407037149318127,gaar,0.9896997970623538,0.9828521795707783,gaar_cagd,0.9969983169957384,0.9946697884299667,gaar_f1_threshold,0.09074999999999997,0.08825
df8,default,0.9834450778430555,0.9834450778430555,gaar_f1_threshold,0.9584024047123056,0.9292181927321097,gaar_focal_loss,0.9861087925793436,0.9810315958173643,gaar,0.9882459489185331,0.9855977171118366,gaar,0.996055063327263,0.994297790741912,focal_loss_cagd_f1_threshold,0.0895,0.08312499999999998
df9,gaar_cagd,0.9718090694994984,0.9474127809748669,default,0.9200879609669241,0.9200879609669241,gaar_focal_loss_cagd,0.9882360296797318,0.9010946621627431,gaar,0.9750600854075975,0.9681006241458083,gaar_cagd,0.9952307792628193,0.9927043060300595,default,0.08509786476868324,0.08509786476868324
