model,balanced_accuracy_mean,balanced_accuracy_median,balanced_accuracy_std,minority_f1_mean,minority_f1_median,minority_f1_std,minority_recall_mean,minority_recall_median,minority_recall_std,average_precision_mean,average_precision_median,average_precision_std,roc_auc_mean,roc_auc_median,roc_auc_std,accuracy_gain_over_majority_mean,accuracy_gain_over_majority_median,accuracy_gain_over_majority_std,mean_training_time_seconds,runs
cagd_f1_threshold,0.7860113927146928,0.8333333333333333,0.19286986654023844,0.5975942825303581,0.6816143497757847,0.3255995330169827,0.7000237174589097,0.8421052631578947,0.31909024167060046,0.6716822101658151,0.7952380952380951,0.3236610787828217,0.8868352868632924,0.9518900343642612,0.1386368214456227,-0.027651533595896463,0.0410958904109588,0.21365920764824936,2.879273713983039,385
gaar_cagd_f1_threshold,0.7836235657194367,0.8423701237277232,0.20219453480302266,0.5996027091720165,0.6956521739130435,0.327863736951291,0.7059085234294541,0.8378378378378378,0.31743114304183667,0.6747847335818781,0.8074474281595024,0.32873120073906675,0.8797036056659057,0.9541666666666668,0.1635613201728864,-0.03633869801886383,0.0384615384615385,0.23793605024810482,3.8850755689384466,385
gaar_cagd,0.7832013094409881,0.8415267785771383,0.1870761584025957,0.5540691473987972,0.6956521739130435,0.34527715920290547,0.6026213070611535,0.7142857142857143,0.38535141607635004,0.6747847335818781,0.8074474281595024,0.32873120073906675,0.8797036056659057,0.9541666666666668,0.1635613201728864,0.042456902090880946,0.0429223744292237,0.05651142113584472,3.99833232565789,385
gaar_focal_loss_cagd_f1_threshold,0.7733504385200264,0.820212154627487,0.1981545213853936,0.5890323756071641,0.6666666666666666,0.31835394046163373,0.6970262848374391,0.8235294117647058,0.31036713941393523,0.6604404535252706,0.7616503730259749,0.32437011844366365,0.8720337226642755,0.9399477228424596,0.1650880188109372,-0.04797367671232614,0.0384615384615384,0.24530097577689802,3.8913967773779414,385
focal_loss_cagd_f1_threshold,0.7728217060318552,0.8124929640887089,0.18690315891314502,0.5782113541445987,0.6666666666666666,0.3152420873705522,0.6921040741614355,0.8092485549132948,0.3069563870977567,0.6485244202837869,0.7555555555555555,0.320102005525087,0.8750046163183592,0.9376489401730842,0.14342779252897694,-0.045160353684037306,0.0383561643835617,0.22906229556461866,2.91948333799328,385
gaar_f1_threshold,0.7679225554678655,0.8104388758637373,0.19066190714886744,0.5749985645632989,0.6457073760580411,0.3187046200320829,0.6758839769502341,0.7566666666666667,0.3038101371586336,0.6495623891528209,0.7476564488856385,0.3194501698450959,0.8664623833509462,0.924361112989638,0.15750111062336558,-0.045228215334468164,0.0376506024096385,0.2325438060641724,1.447178421336583,385
f1_threshold,0.7601766717848293,0.8024691358024691,0.1850147973886281,0.5554584420630349,0.625,0.3173845518144838,0.6625260710918215,0.7413793103448276,0.3037708227145119,0.6255486821708659,0.7162103309520749,0.32219422517867347,0.858734038260978,0.9166666666666666,0.15490051037034847,-0.04806639049857136,0.0306224899598392,0.22181662701571858,0.42767598844124244,385
gaar_focal_loss_f1_threshold,0.7599374862551639,0.7876843408758303,0.1825514858177164,0.5550467557334773,0.6105263157894737,0.3050763992082274,0.6746157268998956,0.759075907590759,0.30017562159925404,0.6282551485934819,0.6906438923623779,0.30929688003890465,0.8585975574491398,0.9087396749267252,0.15294422409383818,-0.05829745741970004,0.0170682730923695,0.23274784056387732,1.4895390214779498,385
gaar_focal_loss_cagd,0.752632182417686,0.7866017052375152,0.1766894055325163,0.4578316310769126,0.524822695035461,0.28900845401906855,0.5669198891198572,0.6,0.38837719085583594,0.6604404535252706,0.7616503730259749,0.32437011844366365,0.8720337226642755,0.9399477228424596,0.1650880188109372,0.012120553337103924,0.0,0.053660118787712985,3.8990324695700442,385
cagd,0.7505410037686975,0.7908500132430285,0.1938153969898124,0.5335378375355606,0.6666666666666666,0.3744500600462906,0.523557148297491,0.6037735849056604,0.39121933502883394,0.6716822101658151,0.7952380952380951,0.3236610787828217,0.8868352868632924,0.9518900343642612,0.1386368214456227,0.04736973281416477,0.0471698113207547,0.05427847301530615,2.9672226636978953,385
focal_loss_f1_threshold,0.7484356806179528,0.7909742128742181,0.18498947709618274,0.5266668152624707,0.5822784810126582,0.3201963756315732,0.668530267508054,0.75,0.3007583491642723,0.5904522106486816,0.6428571428571429,0.32803945881692625,0.8439568964674268,0.8941871921182266,0.1624272258339403,-0.07357948288474,0.0,0.23697628287654657,0.4729308557332276,385
focal_loss_cagd,0.7237288612319093,0.7222222222222222,0.18827941070899215,0.4556878268738509,0.5714285714285714,0.32476549820017614,0.4823691053286201,0.4909090909090909,0.39651164256452887,0.6485244202837869,0.7555555555555555,0.320102005525087,0.8750046163183592,0.9376489401730842,0.14342779252897694,0.028235508124831287,0.0224999999999999,0.04435217788239767,2.9566548337345013,385
gaar,0.722285877620943,0.7105741554309953,0.1986667463897993,0.4338103407299473,0.4057971014492754,0.371629483290257,0.4718964548906966,0.4482758620689655,0.416629166015148,0.6495623891528209,0.7476564488856385,0.3194501698450959,0.8664623833509462,0.924361112989638,0.15750111062336558,0.028402329337536194,0.0,0.044448759364475114,1.4454208049982145,385
gaar_focal_loss,0.713130142718901,0.7238543371522095,0.1864514317074275,0.3711631351982368,0.4,0.3111414542246388,0.482592653813709,0.4848484848484848,0.42161483611745576,0.6282551485934819,0.6906438923623779,0.30929688003890465,0.8585975574491398,0.9087396749267252,0.15294422409383818,0.0034728890645054104,0.0,0.040047789562422435,1.4793014113374006,385
default,0.6617337924036404,0.5666666666666667,0.186789358182848,0.36732202236913014,0.2857142857142857,0.38380934463844046,0.33089586716142777,0.1888888888888888,0.37704713703012954,0.6255486821708659,0.7162103309520749,0.32219422517867347,0.858734038260978,0.9166666666666666,0.15490051037034847,0.030770330775176668,0.0089285714285713,0.03844933826748277,0.43391779315515794,385
