dataset,seed,model,status,rows,features,target_0_count,target_1_count,train_rows,validation_rows,test_rows,train_positive_count,validation_positive_count,test_positive_count,learning_rate,iterations,threshold,threshold_score,training_time_seconds,prediction_time_seconds,accuracy,majority_baseline_accuracy,accuracy_gain_over_majority,balanced_accuracy,majority_recall,minority_recall,minority_precision,minority_f1,minority_error_rate,false_positive_rate,mcc,roc_auc,average_precision,tn,fp,fn,tp
df1,0,default,ok,4229,1617,4080,149,2706,677,846,96,20,33,0.01,1000,0.5,,4.550693560973741,0.0013290980132296681,0.9609929078014184,0.9609929078014184,0.0,0.5145365090014536,0.998769987699877,0.030303030303030304,0.5,0.05714285714285714,0.9696969696969697,0.0012300123001230013,0.11590605885809598,0.6900369003690037,0.16305083942966403,812,1,32,1
df1,0,gaar,ok,4229,1617,4080,149,2706,677,846,96,20,33,0.01,1000,0.5,,24.36140004202025,0.011236805992666632,0.9444444444444444,0.9609929078014184,-0.01654846335697402,0.6803645309180364,0.966789667896679,0.3939393939393939,0.325,0.3561643835616438,0.6060606060606061,0.033210332103321034,0.3290681566954108,0.7725222706772522,0.2750811238246673,786,27,20,13
df1,0,focal_loss,ok,4229,1617,4080,149,2706,677,846,96,20,33,0.01,1000,0.5,,7.328012445010245,0.0010956930345855653,0.9609929078014184,0.9609929078014184,0.0,0.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.648030116664803,0.08011449356737413,813,0,33,0
df1,0,f1_threshold,ok,4229,1617,4080,149,2706,677,846,96,20,33,0.01,1000,0.12878787878787878,0.13559322033898305,7.407039396988694,0.0013196880463510752,0.9078014184397163,0.9609929078014184,-0.05319148936170215,0.5886167952588617,0.9348093480934809,0.24242424242424243,0.13114754098360656,0.1702127659574468,0.7575757575757576,0.06519065190651907,0.13266260856953288,0.6900369003690037,0.16305083942966403,760,53,25,8
df1,0,gaar_focal_loss,ok,4229,1617,4080,149,2706,677,846,96,20,33,0.01,1000,0.5,,23.694118854007684,0.0015203079674392939,0.9373522458628841,0.9609929078014184,-0.023640661938534313,0.6912110030191211,0.958179581795818,0.42424242424242425,0.2916666666666667,0.345679012345679,0.5757575757575758,0.041820418204182044,0.32005384844288404,0.7913824592791382,0.3170945461966429,779,34,19,14
df1,0,gaar_f1_threshold,ok,4229,1617,4080,149,2706,677,846,96,20,33,0.01,1000,0.47525252525252526,0.23529411764705882,18.65196129900869,0.0019810509984381497,0.942080378250591,0.9609929078014184,-0.01891252955082745,0.693671027619367,0.9630996309963099,0.42424242424242425,0.3181818181818182,0.36363636363636365,0.5757575757575758,0.03690036900369004,0.3377406796109228,0.7725222706772522,0.2750811238246673,783,30,19,14
df1,0,focal_loss_f1_threshold,ok,4229,1617,4080,149,2706,677,846,96,20,33,0.01,1000,0.1782828282828283,0.06493506493506493,5.110205774020869,0.0009335220092907548,0.12411347517730496,0.9609929078014184,-0.8368794326241135,0.544280442804428,0.08856088560885608,1.0,0.04263565891472868,0.08178438661710037,0.0,0.9114391143911439,0.061447959380320286,0.648030116664803,0.08011449356737413,72,741,0,33
df1,0,gaar_focal_loss_f1_threshold,ok,4229,1617,4080,149,2706,677,846,96,20,33,0.01,1000,0.5049494949494949,0.22641509433962265,19.9728810369852,0.004924415028654039,0.942080378250591,0.9609929078014184,-0.01891252955082745,0.693671027619367,0.9630996309963099,0.42424242424242425,0.3181818181818182,0.36363636363636365,0.5757575757575758,0.03690036900369004,0.3377406796109228,0.7913824592791382,0.3170945461966429,783,30,19,14
df1,0,cagd,ok,4229,1617,4080,149,2706,677,846,96,20,33,0.01,1000,0.5,,41.042677363962866,0.002606246038340032,0.9621749408983451,0.9609929078014184,0.0011820330969266601,0.5878340601587834,0.993849938499385,0.18181818181818182,0.5454545454545454,0.2727272727272727,0.8181818181818182,0.006150061500615006,0.30023105800938404,0.7638003652763801,0.2622041269491544,808,5,27,6
df1,0,gaar_cagd,ok,4229,1617,4080,149,2706,677,846,96,20,33,0.01,1000,0.5,,52.02467735699611,0.0010475969756953418,0.9468085106382979,0.9609929078014184,-0.014184397163120588,0.6234485072123448,0.974169741697417,0.2727272727272727,0.3,0.2857142857142857,0.7272727272727273,0.025830258302583026,0.2584713280666989,0.7443065339744307,0.24441179696708495,792,21,24,9
df1,0,focal_loss_cagd,ok,4229,1617,4080,149,2706,677,846,96,20,33,0.01,1000,0.5,,39.24331196997082,0.0012970200041309,0.9633569739952719,0.9609929078014184,0.0023640661938534313,0.5739125573073913,0.996309963099631,0.15151515151515152,0.625,0.24390243902439024,0.8484848484848485,0.0036900369003690036,0.29572188397450416,0.7530657124753066,0.25190824361821473,810,3,28,5
